permno,adate,qdate,public_date,bm,TICKER
21514,1988-12-31,1989-03-31,1989-05-31,1.102,SNT
21514,1988-12-31,1989-03-31,1989-06-30,1.102,SNT
21514,1988-12-31,1989-03-31,1989-07-31,1.102,SNT
21514,1988-12-31,1989-06-30,1989-08-31,0.965,SNT
21514,1988-12-31,1989-06-30,1989-09-30,0.965,SNT
21514,1988-12-31,1989-06-30,1989-10-31,0.965,SNT
21514,1988-12-31,1989-09-30,1989-11-30,0.766,SNT
21514,1988-12-31,1989-09-30,1989-12-31,0.766,SNT
21514,1988-12-31,1989-09-30,1990-01-31,0.766,SNT
21514,1989-12-31,1989-12-31,1990-02-28,0.700,SNT
21514,1989-12-31,1989-12-31,1990-03-31,0.700,SNT
21514,1989-12-31,1989-12-31,1990-04-30,0.700,SNT
21514,1989-12-31,1990-03-31,1990-05-31,0.671,SNT
21514,1989-12-31,1990-03-31,1990-06-30,0.671,SNT
21514,1989-12-31,1990-03-31,1990-07-31,0.671,SNT
21514,1989-12-31,1990-06-30,1990-08-31,0.648,SNT
21514,1989-12-31,1990-06-30,1990-09-30,0.648,SNT
21514,1989-12-31,1990-06-30,1990-10-31,0.648,SNT
21514,1989-12-31,1990-09-30,1990-11-30,0.630,SNT
21514,1989-12-31,1990-09-30,1990-12-31,0.630,SNT
21514,1989-12-31,1990-09-30,1991-01-31,0.630,SNT
21514,1990-12-31,1990-12-31,1991-02-28,0.707,SNT
21514,1990-12-31,1990-12-31,1991-03-31,0.707,SNT
21514,1990-12-31,1990-12-31,1991-04-30,0.707,SNT
21514,1990-12-31,1991-03-31,1991-05-31,0.802,SNT
21514,1990-12-31,1991-03-31,1991-06-30,0.802,SNT
21514,1990-12-31,1991-03-31,1991-07-31,0.802,SNT
21514,1990-12-31,1991-06-30,1991-08-31,0.835,SNT
21514,1990-12-31,1991-06-30,1991-09-30,0.835,SNT
21514,1990-12-31,1991-06-30,1991-10-31,0.835,SNT
21514,1990-12-31,1991-09-30,1991-11-30,0.765,SNT
21514,1990-12-31,1991-09-30,1991-12-31,0.765,SNT
21514,1990-12-31,1991-09-30,1992-01-31,0.765,SNT
21514,1991-12-31,1991-12-31,1992-02-29,0.873,SNT
21514,1991-12-31,1991-12-31,1992-03-31,0.873,SNT
21514,1991-12-31,1991-12-31,1992-04-30,0.873,SNT
21514,1991-12-31,1992-03-31,1992-05-31,0.958,SNT
21514,1991-12-31,1992-03-31,1992-06-30,0.958,SNT
21514,1991-12-31,1992-03-31,1992-07-31,0.958,SNT
21514,1991-12-31,1992-06-30,1992-08-31,0.830,SNT
21514,1991-12-31,1992-06-30,1992-09-30,0.830,SNT
21514,1991-12-31,1992-06-30,1992-10-31,0.830,SNT
21514,1991-12-31,1992-09-30,1992-11-30,0.753,SNT
21514,1991-12-31,1992-09-30,1992-12-31,0.753,SNT
21514,1991-12-31,1992-09-30,1993-01-31,0.753,SNT
21514,1992-12-31,1992-12-31,1993-02-28,0.666,SNT
21514,1992-12-31,1992-12-31,1993-03-31,0.666,SNT
21514,1992-12-31,1992-12-31,1993-04-30,0.666,SNT
21514,1992-12-31,1993-03-31,1993-05-31,0.597,SNT
21514,1992-12-31,1993-03-31,1993-06-30,0.597,SNT
21514,1992-12-31,1993-03-31,1993-07-31,0.597,SNT
21514,1992-12-31,1993-06-30,1993-08-31,0.529,SNT
21514,1992-12-31,1993-06-30,1993-09-30,0.529,SNT
21514,1992-12-31,1993-06-30,1993-10-31,0.529,SNT
21514,1992-12-31,1993-09-30,1993-11-30,0.501,SNT
21514,1992-12-31,1993-09-30,1993-12-31,0.501,SNT
21514,1992-12-31,1993-09-30,1994-01-31,0.501,SNT
21514,1993-12-31,1993-12-31,1994-02-28,0.618,SNT
21514,1993-12-31,1993-12-31,1994-03-31,0.618,SNT
21514,1993-12-31,1993-12-31,1994-04-30,0.618,SNT
21514,1993-12-31,1994-03-31,1994-05-31,0.657,SNT
21514,1993-12-31,1994-03-31,1994-06-30,0.657,SNT
21514,1993-12-31,1994-03-31,1994-07-31,0.657,SNT
21514,1993-12-31,1994-06-30,1994-08-31,0.594,SNT
21514,1993-12-31,1994-06-30,1994-09-30,0.594,SNT
21514,1993-12-31,1994-06-30,1994-10-31,0.594,SNT
21514,1993-12-31,1994-09-30,1994-11-30,0.590,SNT
21514,1993-12-31,1994-09-30,1994-12-31,0.590,SNT
21514,1993-12-31,1994-09-30,1995-01-31,0.590,SNT
21514,1994-12-31,1994-12-31,1995-02-28,0.653,SNT
21514,1994-12-31,1994-12-31,1995-03-31,0.653,SNT
21514,1994-12-31,1994-12-31,1995-04-30,0.653,SNT
21514,1994-12-31,1995-03-31,1995-05-31,0.622,SNT
21514,1994-12-31,1995-03-31,1995-06-30,0.622,SNT
21514,1994-12-31,1995-03-31,1995-07-31,0.622,SNT
21514,1994-12-31,1995-06-30,1995-08-31,0.614,SNT
21514,1994-12-31,1995-06-30,1995-09-30,0.614,SNT
21514,1994-12-31,1995-06-30,1995-10-31,0.614,SNT
21514,1994-12-31,1995-09-30,1995-11-30,0.622,SNT
21514,1994-12-31,1995-09-30,1995-12-31,0.622,SNT
21514,1994-12-31,1995-09-30,1996-01-31,0.622,SNT
21514,1995-12-31,1995-12-31,1996-02-29,0.552,SNT
21514,1995-12-31,1995-12-31,1996-03-31,0.552,SNT
21514,1995-12-31,1995-12-31,1996-04-30,0.552,SNT
21514,1995-12-31,1996-03-31,1996-05-31,0.558,SNT
21514,1995-12-31,1996-03-31,1996-06-30,0.558,SNT
21514,1995-12-31,1996-03-31,1996-07-31,0.558,SNT
21514,1995-12-31,1996-06-30,1996-08-31,0.462,SNT
21514,1995-12-31,1996-06-30,1996-09-30,0.462,SNT
21514,1995-12-31,1996-06-30,1996-10-31,0.462,SNT
21514,1995-12-31,1996-09-30,1996-11-30,0.478,SNT
21514,1995-12-31,1996-09-30,1996-12-31,0.478,SNT
21514,1995-12-31,1996-09-30,1997-01-31,0.478,SNT
21514,1996-12-31,1996-12-31,1997-02-28,0.420,SNT
21514,1996-12-31,1996-12-31,1997-03-31,0.420,SNT
21514,1996-12-31,1996-12-31,1997-04-30,0.420,SNT
21514,1996-12-31,1997-03-31,1997-05-31,0.405,SNT
21514,1996-12-31,1997-03-31,1997-06-30,0.405,SNT
21514,1996-12-31,1997-03-31,1997-07-31,0.405,SNT
21514,1996-12-31,1997-06-30,1997-08-31,0.442,SNT
21514,1996-12-31,1997-06-30,1997-09-30,0.442,SNT
21514,1996-12-31,1997-06-30,1997-10-31,0.442,SNT
21514,1996-12-31,1997-09-30,1997-11-30,0.447,SNT
21514,1996-12-31,1997-09-30,1997-12-31,0.447,SNT
21514,1996-12-31,1997-09-30,1998-01-31,0.447,SNT
21514,1997-12-31,1997-12-31,1998-02-28,0.504,SNT
21514,1997-12-31,1997-12-31,1998-03-31,0.504,SNT
21514,1997-12-31,1997-12-31,1998-04-30,0.504,SNT
21514,1997-12-31,1998-03-31,1998-05-31,0.419,SNT
21514,1997-12-31,1998-03-31,1998-06-30,0.419,SNT
21514,1997-12-31,1998-03-31,1998-07-31,0.419,SNT
